Scheduled_Departure,Departure_Time,Dep_Delay
600,554,-6
600,554,-6
600,601,1
600,556,-4
600,552,-8
600,555,-5
600,556,-4
600,556,-4
600,555,-5
600,549,-11
600,553,-7
600,640,40
600,600,0
600,555,-5
600,555,-5
600,556,-4
600,551,-9
600,745,105
600,553,-7
600,621,21
600,553,-7
600,549,-11
600,557,-3
600,648,48
830,846,16
830,831,1
830,830,0
830,827,-3
830,914,44
830,824,-6
830,828,-2
830,823,-7
830,827,-3
830,831,1
830,825,-5
830,823,-7
830,831,1
830,836,6
830,829,-1
830,830,0
830,831,1
830,827,-3
830,824,-6
830,1036,126
830,828,-2
830,832,2
830,859,29
830,822,-8
830,822,-8
830,834,4
830,826,-4
830,824,-6
830,913,43
830,959,89
900,1242,222
900,857,-3
900,857,-3
900,859,-1
900,940,40
900,857,-3
900,1054,114
900,906,6
900,857,-3
900,852,-8
900,857,-3
900,854,-6
900,854,-6
900,910,10
900,858,-2
900,855,-5
900,853,-7
900,913,13
900,857,-3
900,856,-4
900,903,3
900,900,0
900,851,-9
900,853,-7
900,856,-4
900,901,1
900,1119,139
900,907,7
900,916,16
900,856,-4
1245,1241,-4
1245,1242,-3
1245,1245,0
1245,1243,-2
1245,1242,-3
1245,1249,4
1245,1243,-2
1245,1254,9
1245,1242,-3
1245,1240,-5
1245,1241,-4
1245,1237,-8
1245,1329,44
1245,1243,-2
1245,1529,164
1245,1242,-3
1245,1421,96
1245,1900,375
1245,1242,-3
1245,1514,149
1245,1241,-4
1245,1242,-3
1245,1241,-4
1245,1239,-6
1245,1241,-4
1245,1247,2
1245,1301,16
1245,1354,69
1245,1240,-5
1245,1559,194
1130,1410,160
1130,1153,23
1130,1139,9
1130,1151,21
1130,1134,4
1130,1128,-2
1130,1231,61
1130,1207,37
1130,1123,-7
1130,1147,17
1130,1339,129
1130,1632,302
1130,1129,-1
1130,1141,11
1130,1212,42
1130,1127,-3
1130,1126,-4
1130,1156,26
1130,1246,76
1130,1130,0
1130,1235,65
1130,1137,7
1130,1127,-3
1130,1132,2
1130,1252,82
1130,1437,187
1110,1108,-2
1110,1109,-1
1110,1325,135
1110,1255,105
1110,1156,46
1110,1105,-5
1110,1130,20
1110,1108,-2
1110,1354,164
1110,1116,6
1110,1109,-1
1110,1111,1
1110,1103,-7
1110,1110,0
1110,1715,365
1110,1141,31
1110,1133,23
1110,1114,4
1110,1304,114
1110,1239,89
1110,1108,-2
1110,1253,103
1110,1405,175
1110,1107,-3
1110,1336,146
1110,1104,-6
1110,1103,-7
1110,1112,2
1110,1108,-2
1110,1555,285
1110,1154,44
905,905,0
905,903,-2
905,903,-2
905,948,43
905,1146,161
905,908,3
905,904,-1
905,1023,78
905,859,-6
905,859,-6
905,921,16
905,906,1
905,857,-8
905,902,-3
905,1043,98
905,858,-7
905,912,7
905,937,32
905,1033,88
905,858,-7
905,909,4
905,901,-4
905,858,-7
905,1022,77
905,957,52
905,954,49
905,911,6
905,858,-7
905,905,0
905,905,0
905,1037,92
700,658,-2
700,818,78
700,655,-5
700,654,-6
700,654,-6
700,653,-7
700,701,1
700,700,0
700,659,-1
700,655,-5
700,657,-3
700,657,-3
700,659,-1
700,704,4
700,656,-4
700,655,-5
700,655,-5
700,656,-4
700,656,-4
700,649,-11
700,655,-5
700,707,7
700,655,-5
700,654,-6
700,655,-5
700,659,-1
700,652,-8
700,652,-8
700,653,-7
700,716,16
2115,2111,-4
2115,2118,3
2115,2112,-3
2115,2111,-4
2115,2118,3
2115,2119,4
2115,2114,-1
2115,2115,0
2115,2115,0
2115,2136,21
2115,2130,15
2115,2253,98
2115,2133,18
2115,2119,4
2115,2229,74
2115,2119,4
2115,2205,50
2115,2141,26
2115,2111,-4
2115,2108,-7
2115,2126,11
2115,2112,-3
2115,2108,-7
2115,2107,-8
2115,2115,0
2115,2300,105
2115,2122,7
2115,2357,162
2115,2220,65
1115,1214,59
1110,1122,12
1110,1110,0
1115,1136,21
1110,1141,31
1110,1127,17
1110,1230,80
1115,1116,1
1110,1106,-4
1110,1107,-3
1110,1112,2
1115,1109,-6
1110,1306,116
1110,1107,-3
1110,2025,555
1115,1112,-3
1110,1323,133
600,552,-8
600,1200,360
600,907,187
600,602,2
815,809,-6
815,813,-2
815,920,65
815,811,-4
815,811,-4
815,810,-5
815,851,36
815,822,7
815,810,-5
815,843,28
815,808,-7
815,834,19
815,822,7
815,812,-3
815,809,-6
815,814,-1
815,814,-1
815,811,-4
815,814,-1
815,839,24
815,808,-7
815,816,1
815,809,-6
815,821,6
815,851,36
815,815,0
1230,1440,130
1230,1227,-3
1230,1322,52
1230,1225,-5
1230,1400,90
1230,1242,12
1230,1222,-8
1230,1437,127
1230,1225,-5
1230,1222,-8
1230,1359,89
1230,1244,14
1230,1224,-6
1230,1238,8
1230,1329,59
1230,1227,-3
1230,1229,-1
1230,1544,194
2300,2300,0
2300,2253,-7
2300,2253,-7
2300,2300,0
2300,13,73
2300,834,574
2300,2338,38
2300,2254,-6
2300,2254,-6
2300,2254,-6
2300,2311,11
2300,4,64
2300,2254,-6
1130,1127,-3
1130,1128,-2
1130,1128,-2
1130,1125,-5
1130,1122,-8
1130,1126,-4
1130,1128,-2
1130,1119,-11
1130,1125,-5
1130,1126,-4
1130,1126,-4
1130,1124,-6
1130,1124,-6
1130,1123,-7
1130,1124,-6
1130,1127,-3
1130,1406,156
1130,1128,-2
1130,1124,-6
1130,1128,-2
1130,1125,-5
1130,1127,-3
1130,1127,-3
1130,1126,-4
1130,1124,-6
1130,1122,-8
1130,1125,-5
1130,1127,-3
1130,1132,2
1130,1509,219
1130,1127,-3
1500,1533,33
1500,1500,0
1500,1453,-7
1500,1456,-4
1500,1458,-2
1500,1452,-8
1500,1512,12
1500,1502,2
1500,1455,-5
1500,1455,-5
1500,1459,-1
1500,1507,7
1500,1500,0
1500,1505,5
1500,1518,18
1500,1453,-7
1500,1531,31
1500,1513,13
1500,1506,6
1500,1455,-5
1500,1546,46
1500,1500,0
1500,1454,-6
1500,1530,30
1500,1527,27
1500,1459,-1
1500,1449,-11
1500,1516,16
1500,1453,-7
1500,1458,-2
1500,1627,87
1900,2020,80
1900,1901,1
1900,1858,-2
1900,1859,-1
1900,1856,-4
1900,1857,-3
1900,1917,17
1900,1905,5
1900,1957,57
1900,1855,-5
1900,1856,-4
1900,1900,0
1900,1910,10
1900,1900,0
1900,1912,12
1900,1909,9
1900,1934,34
1900,1915,15
1900,1855,-5
1900,1909,9
1900,1909,9
1900,1856,-4
1900,1859,-1
1900,2146,166
1900,1857,-3
1900,1900,0
1900,1927,27
1900,1900,0
1900,1938,38
1900,1922,22
1530,1611,41
1530,1735,125
1530,1548,18
1530,1525,-5
1530,1530,0
1530,1529,-1
1530,1539,9
1530,1528,-2
1530,1531,1
1530,1524,-6
1530,1524,-6
1530,1526,-4
1530,1526,-4
1530,1530,0
1530,1529,-1
1530,1526,-4
1530,1745,135
1530,1546,16
1530,1526,-4
1530,1533,3
1530,1557,27
1530,1526,-4
1530,1524,-6
1530,1528,-2
1530,1539,9
1530,1527,-3
1530,1534,4
1530,1718,108
1530,1541,11
1530,2006,276
1530,1614,44
2230,241,251
2230,2228,-2
2230,2230,0
2230,2226,-4
2230,2230,0
2230,101,151
2230,2224,-6
2230,2229,-1
2230,2229,-1
2230,2301,31
2230,2334,64
2230,2228,-2
2230,2239,9
2230,2321,51
2230,2231,1
2230,2225,-5
2230,3,93
2230,2232,2
2230,2344,74
2230,3,93
2230,2248,18
2230,2350,80
2230,37,127
2230,2308,38
2230,13,103
1645,1642,-3
1825,1823,-2
1705,1659,-6
1705,1744,39
1705,1700,-5
1705,1820,75
1705,1659,-6
1705,1702,-3
1825,1823,-2
1705,1705,0
1705,1700,-5
1705,1701,-4
1705,2201,296
1705,1659,-6
1705,1715,10
1825,1902,37
1705,1806,61
1705,1707,2
1705,1700,-5
1705,1701,-4
1705,1713,8
1705,1711,6
1825,1940,75
1705,1704,-1
1705,1846,101
1705,1709,4
1705,1702,-3
1705,1751,46
1705,1703,-2
1825,1851,26
1705,1704,-1
2245,2312,27
2245,2241,-4
2245,2257,12
2245,2243,-2
2245,2244,-1
2245,2302,17
2245,2310,25
2245,2252,7
2245,2239,-6
2245,2300,15
2245,2244,-1
2245,2248,3
2245,2326,41
2245,2305,20
2245,2318,33
2245,2243,-2
2245,2257,12
2245,2322,37
2245,2242,-3
2245,4,79
2245,2300,15
2245,2240,-5
2245,2244,-1
2245,18,93
2245,2345,60
2245,2244,-1
2245,32,107
2245,2244,-1
2245,11,86
2245,1743,1138
2355,2355,0
2350,2346,-4
2350,2345,-5
2350,2348,-2
2350,59,69
2350,35,45
2350,9,19
2350,2348,-2
2350,45,55
2350,2345,-5
2350,2353,3
2350,2348,-2
2350,207,137
2350,2350,0
2350,10,20
2350,2346,-4
2350,6,16
2350,2350,0
2350,122,92
2350,2344,-6
2350,2352,2
2350,125,95
2350,2353,3
2350,42,52
828,826,-2
828,829,1
828,823,-5
828,848,20
828,853,25
828,831,3
828,826,-2
828,827,-1
828,842,14
828,835,7
828,823,-5
828,826,-2
828,826,-2
828,828,0
828,825,-3
828,827,-1
828,820,-8
828,833,5
828,840,12
828,824,-4
828,825,-3
828,926,58
828,824,-4
828,821,-7
828,823,-5
828,819,-9
828,834,6
828,826,-2
828,823,-5
828,824,-4
828,828,0
1430,1600,90
1430,1426,-4
